name,artist,id,danceability,energy,loudness,speechiness,acousticness,tempo,liveness,valence,mood
Toast,Smith & Thell,5hlwCtGdtDBzXeMBJpD5IK,0.548,0.806,0.39547136,0.0628,0.0448,189.996,0.126,0.749,1
,,,,,,,,,,,
ME! (feat. Brendon Urie of Panic! At The Disco),Taylor Swift,4Sib57MmYGJzSvkW84jTwh,0.614,0.839,0.743638606,0.0702,0.0291,182.123,0.112,0.657,1
,,,,,,,,,,,
On Me (feat. Ava Max),Thomas Rhett,7k6tAZp4m93oswrPqSfBbc,0.548,0.721,0.707431902,0.0472,0.0119,177.918,0.216,0.594,1
,,,,,,,,,,,
Good Luck,Mabel,7CTdh15dTO5HqoeqRPHFha,0.696,0.792,0.5737025,0.0494,0.113,121.962,0.0564,0.445,1
,,,,,,,,,,,
3 Nights,Dominic Fike,1tNJrcVe6gwLEiZCtprs1u,0.815,0.518,0.468893622,0.0897,0.223,151.891,0.104,0.877,1
,,,,,,,,,,,
Perfect to Me,Anne-Marie,0DC7Zs2qvAbNK1owWQ4mlL,0.604,0.546,0.570115458,0.151,0.0889,179.847,0.0734,0.402,1
,,,,,,,,,,,
No One Compares To You,Jack & Jack,2jZIfoe48eUeOEnP9Ho4h2,0.703,0.748,0.530209618,0.0435,0.123,111.943,0.0642,0.625,1
,,,,,,,,,,,
Can We Pretend (feat. Cash Cash),P!nk,3O0e0LHTpza0rYVDbZfQ4r,0.524,0.806,0.821656765,0.406,0.197,115.172,0.101,0.45,1
,,,,,,,,,,,
Fingertips,Tom Gregory,0jh5NRR4gX9tsFMLFDhEmX,0.718,0.697,0.605537496,0.0252,0.0731,88.028,0.132,0.692,1
,,,,,,,,,,,
Only Human,Jonas Brothers,0DiDStADDVh3SvAsoJAFMk,0.795,0.496,0.548593207,0.0722,0.108,94.01,0.0645,0.874,1
,,,,,,,,,,,
Down Under (feat. Colin Hay),Luude,7AVyve7cFYTd51ha5i9kE2,0.308,0.861,0.747113552,0.172,0.012,171.966,0.277,0.0386,1
,,,,,,,,,,,
I'll Wait,Kygo,6Q3K9gVUZRMZqZKrXovbM2,0.611,0.651,0.426409595,0.0589,0.144,122.983,0.105,0.351,1
,,,,,,,,,,,
Cloudy Day,Tones And I,0mA7zotmg2ZFMRALljdZsS,0.705,0.776,0.52471696,0.0445,0.0643,116.011,0.0246,0.366,1
,,,,,,,,,,,
Dance with Me (feat. Thomas Rhett & Young Thug),Diplo,6AoHQqGnuwFk9ygWhzLRws,0.73,0.792,0.610581773,0.13,0.0264,99.039,0.101,0.745,1
,,,,,,,,,,,
Summer of Love (Shawn Mendes & Tainy),Shawn Mendes,0z8hI3OPS8ADPWtoCjjLl6,0.776,0.808,0.703508575,0.117,0.0297,123.988,0.103,0.494,1
,,,,,,,,,,,
Please Don't Go,Mike Posner,6jg5SRvdGxvJ0DzNV0UqEK,0.699,0.882,0.771326085,0.0311,0.00296,120.016,0.13,0.657,1
,,,,,,,,,,,
Jerusalema (feat. Nomcebo Zikode),Master KG,2MlOUXmcofMackX3bxfSwi,0.88,0.483,0.422037888,0.0505,0.0185,124.009,0.0607,0.827,1
,,,,,,,,,,,
You for Me,Sigala,73QyyUMMvtNELmULI4FOsp,0.733,0.886,1,0.0426,0.0481,126.031,0.191,0.696,1
,,,,,,,,,,,
Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,4iJyoBOLtHqaGxP12qzhQI,0.677,0.696,0.51518888,0.119,0.321,90.03,0.42,0.464,1
,,,,,,,,,,,
Best Day Of My Life,American Authors,5Hroj5K7vLpIG4FNCRIjbP,0.673,0.902,0.93991705,0.0346,0.0591,100.012,0.0558,0.538,1
,,,,,,,,,,,
Wellerman - Sea Shanty / 220 KID x Billen Ted Remix,Nathan Evans,3iw6V4LH7yPj1ESORX9RIN,0.722,0.893,0.843179016,0.0475,0.0441,119.932,0.0673,0.439,1
,,,,,,,,,,,
Only Wanna Be With You - Pokémon 25 Version,Post Malone,3SawmGBjjq8EOYZJV11cJm,0.47,0.709,0.696558682,0.0299,0.00124,98.036,0.302,0.247,1
,,,,,,,,,,,
"L.O.V.E. (feat. EARTHGANG, Jon Batiste & Sherwyn)",Yung Bae,3h3szgXLd2FJ0WSWj8om9t,0.81,0.779,0.666180921,0.0485,0.000308,111.054,0.23,0.641,1
,,,,,,,,,,,
Dynamite,BTS,0v1x6rN6JHRapa03JElljE,0.746,0.765,0.713709225,0.0993,0.0112,114.044,0.0936,0.737,1
,,,,,,,,,,,
Somebody,Dagny,6pU7kdmhRvhc8twYRl14bD,0.721,0.763,0.675821096,0.0382,0.00178,117.981,0.0945,0.436,1
,,,,,,,,,,,
Weekend Vibe,Jubël,5c0lWlmIyCq7hzBhpZasYL,0.688,0.742,0.49478758,0.0496,0.00912,110.026,0.186,0.74,1
,,,,,,,,,,,
Vacation,Dirty Heads,7cdy4PbCdDZZNjyxoZyE0c,0.736,0.751,0.581661249,0.034,0.0381,150.064,0.105,0.839,1
,,,,,,,,,,,
Momma Always Told Me (feat. Stanaj & Yung Bae),Mike Posner,63lUB0rs6KK58vj8mEAfdj,0.766,0.533,0.562605089,0.0506,0.03,107.999,0.0667,0.764,1
,,,,,,,,,,,
Thelma + Louise,Bastille,4UxATpWvXewD5EZUW01EeQ,0.766,0.83,0.834211411,0.1,0.0146,121.948,0.035,0.756,1
